tweet_id	tweet_text
5	Pick of the Day Women's College Basketball California +2.5 2.2 units @ -110  UNC starting long roady first west coast trip; 2-4 Q1; 88th FG 43.6% 119th REB Marg +3.1 71st 3P 34.1%  Cal 11-0 Home; rest advantage off last week; 4-2 Q1; 27th FG 46.4% 66th REB Marg +5.1 21st 3P 36.4%
7	#HughesFire Evening Quick Facts January 22, 2025: Acres: 9,456 acres Contained: 0% Incident Info Line 8AM-9PM:  - Public Line:(626) 662-0120 - Media Line: (626) 629-8266  For more information, please visit Hughes Fire Inciweb page: https://inciweb.wildfire.gov/incident-information/caanf-hughes-fire… 
10	 Digitalization and Financial Innovations in Energy Markets are on the agenda!   7th International Congress on Economics, Finance & Energy (EFE’2025)  Kocaeli, Türkiye  October 23-25, 2025  Academics, industry professionals, and experts will come together to discuss the
11	The ShaneVerse 2025 albums mini topster  My favorite albums of the year so far
12	Splashdown. Now what?  After the Artemis II mission splashes down following its journey around the Moon,  @NASAGroundSys  &  @USNavy  teams will recover the  @NASA_Orion  spacecraft and the astronauts inside. They’ve recently been training for the recovery off the coast of California.
14	Sometimes I ask my dad to buss down a spread so I can understand to avoid the California Department of Corrections and Rehabilitation.
15	They ain’t playing with them niggas in El Salvador
16	France 2025 :
17	The Hurst Fire is 100% contained. The Auto Fire is 100% contained. The Little Mountain Fire is 100% contained. The Sunset Fire is 100% contained. The Lidia Fire is 100% contained. The Kenneth Fire is 100% contained. The Eaton Fire is 73% contained. The Palisades Fire is 43%
18	All those times she let Barry slide for putting her daughter in danger is catching up with her.  Sorry not sorry.
20	Day 30 Palisades permit update: Progress! Today we got our LADWP clearance.  Now just waiting on our City Planning coastal related clearance. This has been in the city's court since Feb 11th. 
21	Incident Updates (1/12/2025 PM) #EatonFire * North Pasadena and Altadena  (LA County) * 14,117 acres, 27% contained https://fire.ca.gov/incidents/2025/1/7/eaton-fire…  #PalisadesFire * Pacific Palisades (LA County) * 23,713 acres, 13% contained https://fire.ca.gov/incidents/2025/1/7/palisades-fire…
22	Assemblyman Bill Essayli Accepts Appointment to be United States Attorney for the Central District of California  Assemblyman Bill Essayli has vacated his seat in the California State Assembly to accept the appointment to be the United States Attorney for the Central District of
25	"I'm LIVE! New Fire Watch During Red Flag:
01.20.2025  | RED FLAG |  Palisades | Eaton |  LA County, California | Live Wildfire Tracking"
